Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",First Author,URL,Author count,ResearchGate_Link,university/institution,Research Interest Score,Citations,Location_List,Location
"Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee",Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1371/journal.pgen.1004121,2014,1-Jan,,1.0,,,duplicated western blot panels,1,6/3/14,,1.0,,1,Erica P. Homan,https://pubmed.ncbi.nlm.nih.gov//19862557/,17,https://www.researchgate.net/publication/259919743_Differential_Effects_of_Collagen_Prolyl_3-Hydroxylation_on_Skeletal_Tissues,Northeastern University,13.4,20,United States,United States
"Natalia Lopez-del Hoyo, Santiago Lopez-Begines, Jose Luis Rosa, Jeannie Chen, Ana Mendez",Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.1371/journal.pgen.1004480,2014,7-Jul,,1.0,,,duplicated microscopy panels,1,10/17/14,,1.0,,1,Natalia Lopez-del Hoyo,https://pubmed.ncbi.nlm.nih.gov//26001899/,5,,University of Barcelona,13.4,20,missing_location,Spain
"Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie",X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis,"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",10.1371/journal.ppat.1003576,2013,8-Aug,,1.0,,,Duplicated microscopy panels,1,5/19/16,,1.0,,1,Cathleen D. Valentine,https://pubmed.ncbi.nlm.nih.gov//23990788/,4,,,13.4,20,missing_location,Location information not found
"Shipan Dai, Murugesan V. S. Rajaram, Heather M. Curry, Rachel Leander, Larry S. Schlesinger",Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,"PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114",10.1371/journal.ppat.1003114,2013,1-Jan,,,,1,"Duplicated or mirrored blot panels, or lanes within blots",1,3/9/16,,1.0,,1,Shipan Dai,https://pubmed.ncbi.nlm.nih.gov//23359218/,5,https://www.researchgate.net/publication/235380657_Fine_Tuning_Inflammation_at_the_Front_Door_Macrophage_Complement_Receptor_3-mediates_Phagocytosis_and_Immune_Suppression_for_Francisella_tularensis,The Ohio State University,13.4,20,United States,United States
"Vicente Ramï¿½rez,  Ana Lï¿½pez, Brigitte Mauch-Mani, Ma Josï¿½ Gil, Pablo Vera_",An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445",10.1371/journal.ppat.1003445,2013,6-Jun,,,1.0,,"Duplicated/stretched images of a leaf, duplicated gel panels",1,11/2/16,,1.0,,1,Vicente Ramï¿½rez,https://pubmed.ncbi.nlm.nih.gov//23818851/,5,https://www.researchgate.net/publication/309663564_Correction_An_Extracellular_Subtilase_Switch_for_Immune_Priming_in_Arabidopsis,Heinrich-Heine-Universität Düsseldorf,13.4,20,Failed to fetch page,Germany
"Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen",Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845",10.1371/journal.ppat.1003845,2014,1-Jan,,,1.0,,"Duplicated blot panels, shifted",1,1/14/16,,1.0,,1,Haitao Wei,https://pubmed.ncbi.nlm.nih.gov//24391501/,9,https://www.researchgate.net/publication/307652350_Correction_Suppression_of_Interferon_Lambda_Signaling_by_SOCS-1_Results_in_Their_Excessive_Production_during_Influenza_Virus_Infection,,13.4,20,missing_location,Location information not found
"Meleri Jones, Inga R. Dry, Dan Frampton, Manuraj Singh, Ravinder K. Kanda, Michael B. Yee, Paul Kellam, Michael Hollinshead, Paul R. Kinchington, Edel A. Oï¿½Toole, Judith Breuer ",RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896",10.1371/journal.ppat.1003896,2014,1-Jan,,,1.0,,Duplicated shifted blot panel,1,7/22/14,,1.0,,1,Meleri Jones,https://pubmed.ncbi.nlm.nih.gov//35632723/,11,https://www.researchgate.net/publication/260108650_RNA-seq_Analysis_of_Host_and_Viral_Gene_Expression_Highlights_Interaction_between_Varicella_Zoster_Virus_and_Keratinocyte_Differentiation,"Queen Mary, University of London",13.4,20,missing_location,United Kingdom
"Miti Jearaphunt, Chadanat Noonin, Pikul Jiravanichpaisal, Seiko Nakamura, Anchalee Tassanakajon, Irene So_derhï¿½ll, Kenneth Sï¿½derhï¿½llati",Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",10.1371/journal.ppat.1004059,2014,4-Apr,,1.0,,,Duplicated microscopy panels,1,5/20/16,,1.0,,1,Miti Jearaphunt,https://pubmed.ncbi.nlm.nih.gov//24722332/,7,https://www.researchgate.net/publication/261603677_Caspase-1-Like_Regulation_of_the_proPO-System_and_Role_of_ppA_and_Caspase-1-Like_Cleaved_Peptides_from_proPO_in_Innate_Immunity,,13.4,20,missing_location,Location information not found
"Niyas Kudukkil Pulloor, Sajith Nair, Aleksandar D. Kostic, Pradeep Bist, Jeremy D. Weaver, Andrew M. Riley, Richa Tyagi, Pradeep D. Uchil, John D. York, Solomon H. Snyder, Adolfo Garcï¿½__a-Sastre, Barry V. L. Potter, Rongtuan Lin, Stephen B. Shears, Ramnik J. Xavier, Manoj N. Krishnan",Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,"PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981",10.1371/journal.ppat.1003981,2014,2-Feb,,,1.0,,"Duplicated, and shifted western blot panels",1,10/23/14,,1.0,,1,Niyas Kudukkil Pulloor,https://pubmed.ncbi.nlm.nih.gov//24586175/,16,https://www.researchgate.net/publication/260447533_Human_Genome-Wide_RNAi_Screen_Identifies_an_Essential_Role_for_Inositol_Pyrophosphates_in_Type-I_Interferon_Response,Harvard Medical School,13.4,20,United States,United States
"Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves",Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency,"PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195",10.1371/journal.ppat.1004195,2014,6-Jun,,,1.0,,Rotated western blot,1,9/5/14,,1.0,,1,Verity G. Kew,https://pubmed.ncbi.nlm.nih.gov//32375946/,4,https://www.researchgate.net/publication/263293329_Mitogen_and_Stress_Activated_Kinases_Act_Co-operatively_with_CREB_during_the_Induction_of_Human_Cytomegalovirus_Immediate-Early_Gene_Expression_from_Latency,Victoria University Kampala,13.4,20,Failed to fetch page,Uganda
"Michelle Khai Khun Yap, Nget Hong Tan, Si Mui Sim, Shin Yee Fung, Choo Hock Tan",Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits,PLOS Neglected Tropical Diseases June 2014 | Volume 8 | Issue 6 | e28901,10.1371/journal.pntd.0002890,2014,1-Jan,,,,1,"duplicated, stretched blot panels with duplicated area within blot",1,9/30/14,,1.0,,1,Michelle Khai Khun Yap,https://pubmed.ncbi.nlm.nih.gov//23537711/,5,https://www.researchgate.net/publication/262886051_Pharmacokinetics_of_Naja_sumatrana_Equatorial_Spitting_Cobra_Venom_and_Its_Major_Toxins_in_Experimentally_Envenomed_Rabbits,Monash University (Australia),13.4,20,Failed to fetch page,Australia
"Jianming Chen, Julian I. Rood, and Bruce A. McClane",Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System,mBio 2(6):  2011,10.1128/mBio.00275-11,2011,mBio,,,1.0,,"Overlapping microscopy images, multiple times",1,1/27/15,,1.0,,1,Jianming Chen,https://pubmed.ncbi.nlm.nih.gov//35319234/,3,https://www.researchgate.net/publication/51876309_Epsilon-Toxin_Production_by_Clostridium_perfringens_Type_D_Strain_CN3718_Is_Dependent_upon_the_agr_Operon_but_Not_the_VirSVirR_Two-Component_Regulatory_System,Monash University (Australia),13.4,20,Failed to fetch page,Australia
"Doblin Sandai, Yin Zhikang, Laura Selway, David Stead, Janet Walker, Michelle D. Leach, Iryna Bohovych, Iuliana V. Ene, Stavroula Kastora, Susan Budge, Carol A. Munro, Frank C. Odds, Neil A. R. Gow, and Alistair J. P. Brown",The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,mBio 3(6): 2012,10.1128/mBio.00495-12,2012,mBio,,1.0,,,Duplicated western blots,1,1/20/15,,1.0,,1,Doblin Sandai,https://pubmed.ncbi.nlm.nih.gov//23232717/,14,https://www.researchgate.net/publication/233901210_The_Evolutionary_Rewiring_of_Ubiquitination_Targets_Has_Reprogrammed_the_Regulation_of_Carbon_Assimilation_in_the_Pathogenic_Yeast_Candida_albicans,Universiti Sains Malaysia,13.4,20,Malaysia,Malaysia
"Anusha M. Gopalakrishnan, and Nirbhay Kumar",Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum,mBio 4(3): 2013,10.1128/mBio.00252-13,2013,mBio,,,1.0,,Duplicated agarose gel panels,1,2/3/15,,1.0,,1,Anusha M. Gopalakrishnan,https://pubmed.ncbi.nlm.nih.gov//23631919/,2,https://www.researchgate.net/publication/236598662_Opposing_Roles_for_Two_Molecular_Forms_of_Replication_Protein_A_in_Rad51-Rad54-Mediated_DNA_Recombination_in_Plasmodium_falciparum,Duke University Medical Center,13.4,20,missing_location,United States
"Christopher W. Cutler, Paul I. Eke, Caroline A. Genco, Thomas E. Van Dyke, and Roland R. Arnold",Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,"Infect. Immun. June 1996, p. 2282ï¿½2287 Vol. 64, No. 6",PMID: 8675338,1996,IAI,,,,1,"Cut, and duplicated SDS PAGE parts",1,,,,1.0,1,Christopher W. Cutler,https://pubmed.ncbi.nlm.nih.gov//28107612/,5,https://www.researchgate.net/publication/14527087_Hemin-induced_modifications_of_the_antigenicity_and_hemin-binding_capacity_of_Porphyromonas_gingivalis_lipopolysaccharide,Augusta University,13.4,20,United States,United States
"Brenda A. Wilson, Virgilio G. Ponferrada, Jefferson E. Vallence, and Mengfei Ho",Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus,"Infection, and Immunity, Jan. 1999, p. 80ï¿½87 Vol. 67, No. 1",PMID: 9864199,1999,IAI,,1.0,,,"Identical microscopy panels, might be error",1,,,,1.0,1,Brenda A. Wilson,https://pubmed.ncbi.nlm.nih.gov//11705966/,4,,"University of Illinois, Urbana-Champaign",13.4,20,missing_location,United States
"S. Jeyaseelan, S.L. Hsuan, M.S. Kannan, B. Walcheck, J.F. Wang, M.E. Kehrli, E.T. Lally, G.C. Sieck, and S.K. Maheswaran",Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes,"Infection, and Immunity, Jan. 2000, p. 72ï¿½79 Vol. 68, No. 1",10.1128/IAI.68.1.72-79.2000,2000,IAI,,,1.0,,Multiple cases of shifted or duplicated blot panels,1,,,,1.0,1,S. Jeyaseelan,https://pubmed.ncbi.nlm.nih.gov//10603370/,9,https://www.researchgate.net/publication/12698803_Lymphocyte_Function-Associated_Antigen_1_Is_a_Receptor_for_Pasteurella_haemolytica_Leukotoxin_in_Bovine_Leukocytes,Louisiana State University,13.4,20,United States,United States
"S. Jeyaseelan, M.S. Kannan, R.E. Briggs, P. Thumbikat, and S.K. Maheswaran","Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects","Infection, and Immunity, Oct. 2001, p. 6131ï¿½6139 Vol. 69, No. 10",10.1128/IAI.69.10.6131ï¿½6139.2001,2001,IAI,,,,1,Multiple cases of shifted or duplicated blot panels,1,,,,1.0,1,S. Jeyaseelan,https://pubmed.ncbi.nlm.nih.gov//16120252/,5,,Louisiana State University,13.4,20,missing_location,United States
"Nobuo Okahashi, Atsuo Sakurai, Ichiro Nakagawa, Taku Fujiwara, Shigetada Kawabata, Atsuo Amano, and Shigeyuki Hamada",Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells,"Infect. Immun. Feb. 2003, p. 948ï¿½955 Vol. 71, No. 2",10.1128/IAI.71.2.948-955.2003,2003,IAI,,1.0,,,"duplicated blots, two sets",1,,,,1.0,1,Nobuo Okahashi,https://pubmed.ncbi.nlm.nih.gov//14977979/,7,https://www.researchgate.net/publication/8541543_Infection_by_Streptococcus_pyogenes_Induces_the_Receptor_Activator_of_NF-_B_Ligand_Expression_in_Mouse_Osteoblastic_Cells,Tokyo Dental College,13.4,20,Japan,Japan
"Stephanie Dahan, Guillaume Dalmasso, Veronique Imbert, Jean-Francois Peyron, Patrick Rampal, and Dorota Czerucka",Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells,"Infection and Immunity 73: Feb. 2003, p. 766ï¿½773",10.1128/IAI.71.2.766ï¿½773.2003,2003,IAI,,,1.0,,multiple cases of duplicated bands within same blot,CHECK,,,,1.0,1,Stephanie Dahan,https://pubmed.ncbi.nlm.nih.gov//11953364/,6,https://www.researchgate.net/publication/8540823_Saccharomyces_boulardii_Interferes_with_Enterohemorrhagic_Escherichia_coli-Induced_Signaling_Pathways_in_T84_Cells,Icahn School of Medicine at Mount Sinai,13.4,20,United States,United States
"Laura W. Schrum, Ian Marriott, Betsy R. Butler, Elaine K. Thomas, Michael C. Hudson, and Kenneth L. Bost",Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast,"Infect. Immun. Mar. 2003, p. 1209ï¿½1216",10.1128/IAI.71.3.1209ï¿½1216.2003,2003,IAI,,1.0,,,duplicated microscopoy images,CHECK,,,,1.0,1,Laura W. Schrum,https://pubmed.ncbi.nlm.nih.gov//12595434/,6,https://www.researchgate.net/publication/10893395_Functional_CD40_Expression_Induced_following_Bacterial_Infection_of_Mouse_and_Human_Osteoblasts,Carolinas Medical Center University,13.4,20,Failed to fetch page,United States
"Sen Rong Yan, Gefei Qing, David M. Byers, Andrew W. Stadnyk, Walla Al-Hertani, and Robert Bortolussi",Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide,"Infect. Immun. Mar. 2004, p. 1223ï¿½1229 Vol. 72, No. 3",10.1128/IAI.72.3.1223-1229.2004,2004,IAI,,,1.0,,Mirrored blot,1,,,,1.0,1,Sen Rong Yan,https://pubmed.ncbi.nlm.nih.gov//11500829/,6,https://www.researchgate.net/publication/5351191_Role_of_MyD88_in_Diminished_Tumor_Necrosis_Factor_Alpha_Production_by_Newborn_Mononuclear_Cells_in_Response_to_Lipopolysaccharide,Dalhousie University,13.4,20,Canada,Canada
"Peter L. W. Yun, Arthur A. Decarlo, Cheryl C. Chapple, and Neil Hunter",Functional Implication of the Hydrolysis of Platelet Endothelial Cell Adhesion Molecule 1 (CD31) by Gingipains of Porphyromonas gingivalis for the Pathology of Periodontal Disease,"Infect. Immun. Mar. 2005, p. 1386ï¿½1398 Vol. 73, No. 3",10.1128/IAI.73.3.1386-1398.2005,2005,IAI,,,1.0,,Overlapping microscopy panels,1,,,,1.0,1,Peter L. W. Yun,https://pubmed.ncbi.nlm.nih.gov//15731052/,4,https://www.researchgate.net/publication/8002675_Functional_Implication_of_the_Hydrolysis_of_Platelet_Endothelial_Cell_Adhesion_Molecule_1_CD31_by_Gingipains_of_Porphyromonas_gingivalis_for_the_Pathology_of_Periodontal_Disease,Westmead Institute for Medical Research,13.4,20,missing_location,Australia
"Samithamby Jeyaseelan, Hong Wei Chu, Scott K. Young, Mason W. Freeman, and G. Scott Worthen",Distinct Roles of Pattern Recognition Receptors CD14 and Toll-Like Receptor 4 in Acute Lung Injury,"Infection, and Immunity, Mar. 2005, p. 1754ï¿½1763 Vol. 73, No. 3",10.1128/IAI.73.3.1754ï¿½1763.2005,2005,IAI,,,1.0,,Overlapping microscopy panels,1,,,,1.0,1,Samithamby Jeyaseelan,https://pubmed.ncbi.nlm.nih.gov//35285245/,5,https://www.researchgate.net/publication/8002715_Distinct_Roles_of_Pattern_Recognition_Receptors_CD14_and_Toll-Like_Receptor_4_in_Acute_Lung_Injury,Louisiana State University,13.4,20,United States,United States
"Ellen J. Beswick, Irina V. Pinchuk, Kyle Minch, Giovanni Suarez, Johanna C. Sierra, Yoshio Yamaoka, and Victor E. Reyes",The Helicobacter pylori Urease B Subunit Binds to CD74 on Gastric Epithelial Cells and Induces NF-__B Activation and Interleukin-8 Production,"Infect. Immun. Feb. 2006, p. 1148ï¿½1155 Vol. 74, No. 2",10.1128/IAI.74.2.1148-1155.2006,2006,IAI,,1.0,,,Duplicated blot panel within other panel,1,,,,1.0,1,Ellen J. Beswick,https://pubmed.ncbi.nlm.nih.gov//15845476/,7,https://www.researchgate.net/publication/7343721_The_Helicobacter_pylori_Urease_B_Subunit_Binds_to_CD74_on_Gastric_Epithelial_Cells_and_Induces_NF-_B_Activation_and_Interleukin-8_Production,Penn State Hershey Medical Center and Penn State College of Medicine,13.4,20,Failed to fetch page,United States
"Catherine J. Hunter, Monica Williams, Mikael Petrosyan, Yigit Guner, Rahul Mittal, Dennis Mock, Jeffrey S. Upperman, Henri R. Ford, and Nemani V. Prasadarao",Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__,"Infect. Immun. Mar. 2009, p. 1031ï¿½1043 Vol. 77, No. 3",10.1128/IAI.01192-08,2009,IAI,,,1.0,,"Overlapping microscopy, mirrored blot panels, multiple cases",1,,,,1.0,1,Catherine J. Hunter,https://pubmed.ncbi.nlm.nih.gov//29789433/,9,,Children's Hospital of Orange County,13.4,20,missing_location,United States
"Suleyman Felek, and Eric S. Krukonis",The Yersinia pestis Ail Protein Mediates Binding and Yop Delivery to Host Cells Required for Plague Virulence__,"Infection, and Immunity, Feb. 2009, p. 825ï¿½836 Vol. 77, No. 2",10.1128/IAI.00913-08,2009,IAI,,,1.0,,Mirrored microscopy image,1,,,,1.0,1,Suleyman Felek,https://pubmed.ncbi.nlm.nih.gov//19064637/,2,https://www.researchgate.net/publication/23640023_The_Yersinia_pestis_Ail_Protein_Mediates_Binding_and_Yop_Delivery_to_Host_Cells_Required_for_Plague_Virulence,University of Detroit Mercy,13.4,20,United States,United States
"Paola Massari, Jay Gunawardana, Xiuping Liu, and Lee M. Wetzler",Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independent Manner__,"Infect. Immun. Mar. 2010, p. 994ï¿½1003 Vol. 78, No. 3",10.1128/IAI.00156-09,2010,IAI,,,1.0,,"Duplicated blot panels, different exposure",1,7/8/15,,1.0,,1,Paola Massari,https://pubmed.ncbi.nlm.nih.gov//26157088/,4,https://www.researchgate.net/publication/40759315_Meningococcal_Porin_PorB_Prevents_Cellular_Apoptosis_in_a_Toll-Like_Receptor_2-_and_NF-_B-Independent_Manner,Tufts University,13.4,20,United States,United States
"Min-Hee Cho, Hae-Jeong Ahn, Hyun-Joon Ha, Jungchan Park, Jeong-Hoon Chun, Bong-Su Kim, Hee-Bok Oh, and Gi-eun Rhie",Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__,"Infect. Immun. Mar. 2010, p. 994ï¿½1003 Vol. 78, No. 3",10.1128/IAI.00956-09,2010,IAI,,,1.0,,"Multiple cases of duplicated blots, stretched",1,,,,1.0,1,Min-Hee Cho,https://pubmed.ncbi.nlm.nih.gov//26195551/,8,,Hankuk University of Foreign Studies,13.4,20,missing_location,South Korea
"Yuan Du, Tomomi Hashizume, Tomoko Kurita-Ochiai, Satoshi Yuzawa, Yoshimitsu Abiko, and Masafumi Yamamoto",Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,"Infect. Immun. Feb. 2011, p. 895ï¿½904 Vol. 79, No. 2",10.1128/IAI.01203-10,2011,IAI,,1.0,,,"Duplicated FACS plots, multiple cases",1,10/15/15,,1.0,,1,Yuan Du,https://pubmed.ncbi.nlm.nih.gov//21115722/,6,https://www.researchgate.net/publication/49643437_Nasal_Immunization_with_a_Fusion_Protein_Consisting_of_the_Hemagglutinin_A_Antigenic_Region_and_the_Maltose-Binding_Protein_Elicits_CD11c_CD8_Dendritic_Cells_for_Induced_Long-Term_Protective_Immunity,Nihon University,13.4,20,Japan,Japan
"Eva Hervet, Xavier Charpentier, Anne Vianney, Jean-Claude Lazzaroni, Christophe Gilbert, Daniele Atlan, and Patricia Doublet",Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__,"Infect. Immun. May 2011, p. 1936ï¿½1950 Vol. 79, No. 5",10.1128/IAI.00805-10,2011,IAI,,,1.0,,"Duplicated blot strips, stretched",1,7/8/15,,1.0,,1,Eva Hervet,https://pubmed.ncbi.nlm.nih.gov//21321072/,7,https://www.researchgate.net/publication/49836065_Protein_Kinase_LegK2_Is_a_Type_IV_Secretion_System_Effector_Involved_in_Endoplasmic_Reticulum_Recruitment_and_Intracellular_Replication_of_Legionella_pneumophila,Claude Bernard University Lyon 1,13.4,20,France,France
"Asim A. Siddiqui, Jia Xainli, Jesse Schloegel, Lenore Carias, Francis Ntumngia, Menachem Shoham, Joanne L. Casey, Michael Foley, John H. Adams, and Christopher L. King",Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,"Infect. Immun. 2012, 80(8):2920",10.1128/IAI.00206-12,2012,IAI,,,1.0,,"duplicated, shifted, rotated blot strips/lanes",1,6/1/15,1.0,,,1,Asim A. Siddiqui,https://pubmed.ncbi.nlm.nih.gov//22615246/,10,https://www.researchgate.net/publication/225054382_Fine_Specificity_of_Plasmodium_vivax_Duffy_Binding_Protein_Binding_Engagement_of_the_Duffy_Antigen_on_Human_Erythrocytes,,13.4,20,missing_location,Location information not found
"Balamayooran Theivanthiran, Sanjay Batra, Gayathriy Balamayooran, Shanshan Cai, Koichi Kobayashi, Richard A. Flavell, and Samithamby Jeyaseelan",NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection,"Infect. Immun. 2012, 80(7):2558",10.1128/IAI.06230-11,2012,IAI,,,1.0,,"duplicated, shifted blot panels",1,5/1/15,1.0,,,1,Balamayooran Theivanthiran,https://pubmed.ncbi.nlm.nih.gov//22547547/,7,https://www.researchgate.net/publication/312245365_NOD2_Signaling_Contributes_to_Host_Defense_in_the_Lungs_against_Escherichia_coli_Infection,,13.4,20,missing_location,Location information not found
"Javier Santander, Greg Golden, Soo-Young Wanda, and Roy Curtiss III",Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host,"Infect. Immun. 2012, 80(8):2689",10.1128/IAI.00013-12,2012,IAI,,,1.0,,rotated duplicated colony photo,1,12/1/15,,1.0,,1,Javier Santander,https://pubmed.ncbi.nlm.nih.gov//22615248/,4,https://www.researchgate.net/publication/225054384_Fur-Regulated_Iron_Uptake_System_of_Edwardsiella_ictaluri_and_Its_Influence_on_Pathogenesis_and_Immunogenicity_in_the_Catfish_Host,Memorial University of Newfoundland,13.4,20,Canada,Canada
"Kaitlyn Morse, Junzo Norimine, Guy H. Palmer, Eric L. Sutten, Timothy V. Baszler, and Wendy C. Brown","Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale","Infect. Immun. 2012, 80(1):215",10.1128/IAI.05798-11,2012,IAI,,,1.0,,"duplicated blot strips, slightly shifted",1,,,,1.0,1,Kaitlyn Morse,https://pubmed.ncbi.nlm.nih.gov//22361828/,6,https://www.researchgate.net/publication/51753515_Association_and_Evidence_for_Linked_Recognition_of_Type_IV_Secretion_System_Proteins_VirB9-1_VirB9-2_and_VirB10_in_Anaplasma_marginale,Massachusetts General Hospital,13.4,20,missing_location,United States
"Wael Abdel Halim Hegazy, Xin Xu, Leonid Metelitsa, and Michael Hensel",Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,"Infect. Immun. 2012, 80(3):1193",10.1128/IAI.06056-11,2012,IAI,,1.0,,,"duplicated gel panels, exact duplicate",1,,,1.0,,1,Wael Abdel Halim Hegazy,https://pubmed.ncbi.nlm.nih.gov//22252866/,4,https://www.researchgate.net/publication/221754805_Evaluation_of_Salmonella_enterica_Type_III_Secretion_System_Effector_Proteins_as_Carriers_for_Heterologous_Vaccine_Antigens,Zagazig University,13.4,20,Egypt,Egypt
"Yun Sun, Wen-Jiang Zheng, Yong-Hua Hu, Bo-Guang Sun, and Li Sun","Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection","Infect. Immun. 2012, 80(8):2948",10.1128/IAI.00063-12,2012,IAI,,,1.0,,"very similar negative microscopy images, very similar cell grouping in other image",1,,,,1.0,1,Yun Sun,https://pubmed.ncbi.nlm.nih.gov//22289712/,5,https://www.researchgate.net/publication/341678889_Edwardsiella_tarda_Eta1_an_In_Vivo-Induced_Antigen_That_Is_Involved_in_Host_Infection,Hainan University,13.4,20,China,China
"Carlos J. Blondel, Juan C. Jime_nez, Lorenzo E. Leiva, Sergio A. ï¿½lvarez, Bernardo I. Pinto, Francisca Contreras, David Pezoa, Carlos A. Santiviago, and Inï¿½s Contrerasnd",The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages,"Infect. Immun. 2013, 81(4):1207",10.1128/IAI.01165-12,2013,IAI,,,1.0,,duplicated/mirrored blot panels (negative blots),1,10/1/15,,1.0,,1,Carlos J. Blondel,https://pubmed.ncbi.nlm.nih.gov//23357385/,9,https://www.researchgate.net/publication/235378878_The_Type_VI_Secretion_System_Encoded_in_Salmonella_Pathogenicity_Island_19_Is_Required_for_Salmonella_enterica_Serotype_Gallinarum_Survival_within_Infected_Macrophages,Universidad Andrés Bello,13.4,20,Chile,Chile
